ASL,,,,,,,,,,,,,
경기번호,구분,선수명,종족,승/패,MAP,승/패,종족,선수명,,,,,
314,,김택용,P,패,아웃사이더 SE,승,Z,김민철,,,,,
315,,김택용,P,승,안드로메다,패,Z,김민철,,,,,
316,,김택용,P,승,카멜롯,패,Z,김민철,,,,,
317,"ASL Season 3
FINALS",이영한,Z,패,서킷브레이커,승,T,이영호,,,,,
318,,이영한,Z,패,카멜롯,승,T,이영호,,,,,
319,,이영한,Z,패,안드로메다,승,T,이영호,,,,,
320,"ASL Season 4
24강",박준오,Z,승,골드러시,패,P,하늘,,,,,
321,,임홍규,Z,승,골드러시,패,T,이재호,,,,,
322,,임홍규,Z,패,크로싱필드,승,Z,박준오,,,,,
323,,하늘,P,패,크로싱필드,승,T,이재호,,,,,
324,,임홍규,Z,승,투혼,패,T,이재호,,,,,
325,,김성현,T,승,골드러시,패,Z,한두열,,,,,
326,,최호선,T,승,골드러시,패,P,송병구,,,,,
327,,최호선,T,승,크로싱필드,패,T,김성현,,,,,
328,,한두열,Z,패,크로싱필드,승,P,송병구,,,,,
329,,김성현,T,패,투혼,승,P,송병구,,,,,
330,,김정우,Z,승,골드러시,패,P,김기훈,,,,,
331,,박성균,T,패,골드러시,승,T,유영진,,,,,
332,,김정우,Z,승,크로싱필드,패,T,유영진,,,,,
333,,박성균,T,승,크로싱필드,패,P,김기훈,,,,,
334,,박성균,T,승,투혼,패,T,유영진,,,,,
335,,도재욱,P,승,골드러시,패,T,김태영,,,,,
336,,윤찬희,T,승,골드러시,패,P,정윤종,,,,,
337,,윤찬희,T,승,크로싱필드,패,P,도재욱,,,,,
338,,김태영,T,패,크로싱필드,승,P,정윤종,,,,,
339,,도재욱,P,패,투혼,승,P,정윤종,,,,,
340,,김윤중,P,승,골드러시,패,T,이성은,,,,,
341,,조일장,Z,승,골드러시,패,P,장윤철,,,,,
342,,조일장,Z,패,크로싱필드,승,P,김윤중,,,,,
343,,이성은,T,패,크로싱필드,승,P,장윤철,,,,,
344,,조일장,Z,승,투혼,패,P,장윤철,,,,,
345,,조기석,T,승,골드러시,패,P,변현제,,,,,
346,,이제동,Z,승,골드러시,패,T,구성훈,,,,,
347,,이제동,Z,패,크로싱필드,승,T,조기석,,,,,
348,,변현제,P,승,크로싱필드,패,T,구성훈,,,,,
349,,이제동,Z,승,투혼,패,P,변현제,,,,,
350,"ASL Season 4
16강",이영호,T,승,크로싱필드,패,Z,박준오,,,,,
351,,윤찬희,T,패,크로싱필드,승,T,조기석,,,,,
352,,이영호,T,승,골드러시,패,T,조기석,,,,,
353,,윤찬희,T,패,골드러시,승,Z,박준오,,,,,
354,,박준오,Z,승,투혼,패,T,조기석,,,,,
355,,이영한,Z,패,크로싱필드,승,Z,임홍규,,,,,
356,,김정우,Z,승,크로싱필드,패,Z,조일장,,,,,
357,,김정우,Z,패,골드러시,승,Z,임홍규,,,,,
358,,이영한,Z,패,골드러시,승,Z,조일장,,,,,
359,,김정우,Z,패,투혼,승,Z,조일장,,,,,
360,,김택용,P,승,크로싱필드,패,T,박성균,,,,,
361,,김윤중,P,승,크로싱필드,패,T,최호선,,,,,
362,,김윤중,P,패,골드러시,승,P,김택용,,,,,
363,,박성균,T,승,골드러시,패,T,최호선,,,,,
364,,김윤중,P,패,투혼,승,T,박성균,,,,,
365,,김민철,Z,승,크로싱필드,패,P,정윤종,,,,,
366,,송병구,P,패,크로싱필드,승,Z,이제동,,,,,
367,,김민철,Z,승,골드러시,패,Z,이제동,,,,,
368,,송병구,P,패,골드러시,승,P,정윤종,,,,,
369,,정윤종,P,승,투혼,패,Z,이제동,,,,,
370,"ASL Season 4
8강",임홍규,Z,승,크로싱필드,패,P,정윤종,,,,,
371,,임홍규,Z,패,글래디에이터,승,P,정윤종,,,,,
372,,임홍규,Z,승,골드러시,패,P,정윤종,,,,,
373,,임홍규,Z,승,투혼,패,P,정윤종,,,,,
